PA,R,H,Db,HR,RBI,BB,SO
346,35,76,13,4,24,18,32.0
209,21,32,6,5,22,29,27.0
228,19,51,10,2,14,18,21.0
659,59,180,27,1,55,71,41.0
71,3,10,0,0,5,8,0.0
274,51,81,6,0,31,28,0.0
128,7,27,4,1,8,12,6.0
96,7,14,0,0,4,7,0.0
210,29,56,4,3,25,9,0.0
90,4,20,2,1,8,5,0.0
127,10,25,6,0,8,6,0.0
79,7,12,3,0,6,8,11.0
55,3,10,3,0,6,12,1.0
172,15,44,10,0,17,23,18.0
74,4,14,2,0,2,4,17.0
137,24,48,3,0,17,13,0.0
253,38,59,2,0,22,14,0.0
269,41,79,8,0,45,22,0.0
54,3,9,1,0,3,0,17.0
622,70,154,29,5,68,34,58.0
94,5,7,0,2,5,2,39.0
141,13,26,3,0,12,6,16.0
63,2,6,1,0,2,1,12.0
488,63,107,18,11,49,56,52.0
271,25,61,8,5,36,12,26.0
80,9,13,4,0,8,1,18.0
571,51,151,30,6,62,40,14.0
55,5,11,0,0,2,0,2.0
87,2,11,1,0,6,3,17.0
139,12,24,3,0,13,17,0.0
264,23,58,6,0,12,18,5.0
114,21,33,8,2,14,6,0.0
278,40,73,8,1,28,25,0.0
105,8,20,2,0,5,8,9.0
51,7,10,2,0,5,4,0.0
528,46,109,23,1,22,34,38.0
202,24,53,4,2,31,17,0.0
98,13,26,8,0,10,4,11.0
602,89,150,28,8,78,88,54.0
101,9,14,5,0,3,2,27.0
601,77,142,22,20,67,54,66.0
124,18,26,3,1,17,16,0.0
132,12,23,6,0,6,8,0.0
182,28,48,5,2,36,13,0.0
502,52,99,17,2,22,53,40.0
81,13,20,4,0,11,7,0.0
147,17,28,3,3,9,7,37.0
486,40,118,22,1,41,22,29.0
56,3,9,3,1,6,2,7.0
282,24,58,6,0,18,20,36.0
77,5,14,1,1,7,2,14.0
307,25,68,10,1,16,23,13.0
300,29,75,10,8,46,17,12.0
448,32,119,22,2,36,26,15.0
148,23,34,1,1,22,17,0.0
224,26,60,8,1,26,15,8.0
115,23,40,6,3,22,6,0.0
51,8,14,1,0,8,2,0.0
69,4,17,3,0,3,8,2.0
80,17,15,3,0,6,10,8.0
204,34,56,10,3,18,16,19.0
419,63,110,21,15,56,88,39.0
555,70,123,15,0,33,62,18.0
93,11,18,0,0,9,13,0.0
242,41,69,10,7,52,26,0.0
112,4,20,2,1,9,23,12.0
67,7,11,2,0,5,11,14.0
89,2,14,1,0,9,8,13.0
60,15,22,2,1,9,6,0.0
242,37,72,7,6,56,15,0.0
214,17,38,8,0,14,27,54.0
145,10,28,3,0,13,12,16.0
212,27,44,6,1,16,13,0.0
156,10,35,8,2,10,19,12.0
91,8,15,1,0,1,12,13.0
67,8,18,5,0,6,1,6.0
113,7,32,5,1,10,9,12.0
60,5,5,0,0,2,4,28.0
250,55,75,13,7,47,28,0.0
659,95,158,34,18,116,66,67.0
249,33,63,6,0,11,19,32.0
610,85,169,24,7,73,66,58.0
567,81,146,20,25,95,59,24.0
91,15,24,3,0,11,10,0.0
216,30,44,3,0,21,11,0.0
313,38,66,9,9,42,33,63.0
213,13,38,6,4,18,23,27.0
338,24,78,13,1,25,34,20.0
137,19,37,8,1,24,4,0.0
80,6,13,3,0,6,2,8.0
502,62,138,33,10,54,43,48.0
559,50,128,25,5,68,64,44.0
583,70,169,30,17,73,39,65.0
364,37,75,14,9,49,38,35.0
52,5,6,2,0,3,5,0.0
141,9,16,1,0,7,9,49.0
413,37,95,15,2,42,30,44.0
54,6,12,0,0,7,5,0.0
122,12,24,6,0,7,5,19.0
306,30,69,10,2,30,30,28.0
358,40,85,17,8,42,50,42.0
651,72,136,25,4,66,111,37.0
56,3,11,1,0,7,7,7.0
73,1,13,1,0,3,0,9.0
400,46,82,10,3,24,63,31.0
379,29,95,18,3,35,31,20.0
348,53,85,22,3,38,68,21.0
64,2,5,0,0,1,3,23.0
235,21,50,4,3,22,23,25.0
190,23,55,10,3,25,11,0.0
341,42,81,8,4,33,34,43.0
188,35,54,11,13,48,17,0.0
270,30,51,10,1,14,39,27.0
293,34,63,5,1,17,25,18.0
53,4,14,2,0,4,3,0.0
116,11,26,2,0,10,14,5.0
59,8,17,1,1,5,6,0.0
431,35,79,15,11,47,49,72.0
520,64,132,15,5,45,60,27.0
183,21,37,7,1,13,16,20.0
352,39,97,17,2,31,24,19.0
53,4,18,1,0,7,1,0.0
295,34,59,6,14,47,23,37.0
604,90,145,29,44,127,80,88.0
68,10,10,2,1,8,13,0.0
230,28,50,5,1,20,27,29.0
58,4,11,0,0,0,2,14.0
90,3,21,2,0,4,5,6.0
130,15,22,5,0,7,14,0.0
549,60,128,23,8,52,40,52.0
74,2,7,0,0,2,5,27.0
52,8,11,3,1,6,2,7.0
580,57,141,24,3,50,33,42.0
409,55,92,13,0,26,83,32.0
88,6,15,2,0,3,10,15.0
202,19,46,6,0,19,9,18.0
99,15,31,7,2,18,13,0.0
456,43,99,8,1,28,29,20.0
279,31,63,8,0,21,22,25.0
141,10,32,1,0,15,7,0.0
